logged_at_utc,position_id,coin,size,period_hours,hl_funding_actual_usd,mexc_funding_actual_usd,total_funding_actual_usd,total_funding_theoretical_usd,accuracy_pct,entry_fees_usd,slippage_usd,net_pnl_usd,annualized_apy_pct,hl_wallet
2026-04-01 11:11:38,POS-001,ETH,0.2491,1.85,0.012759,0.0,0.012759,0.006794,187.78,0.46,0.0,-0.136513,11.97,0xA3E3B7...
2026-04-01 14:01:00,POS-001,ETH,0.2491,2.82,0.00481,0.0,0.00481,0.003772,127.53,0.46,0.0,-0.131703,2.95,0xA3E3B7...
2026-04-01 15:22:45,POS-001,ETH,0.2491,1.36,-0.000515,0.0,-0.000515,0.004849,-10.62,0.46,0.0,-0.132218,-0.66,0xA3E3B7...
2026-04-01 17:09:06,POS-001,ETH,0.2491,1.77,0.000164,0.0,0.000164,-0.000806,-20.35,0.46,0.0,-0.132054,0.16,0xA3E3B7...
2026-04-01 18:01:30,POS-001,ETH,0.2491,0.87,-0.005314,0.0,-0.005314,-0.004416,120.33,0.46,0.0,-0.137368,-10.55,0xA3E3B7...
2026-04-01 19:18:50,POS-001,ETH,0.2491,1.29,-0.010157,0.0,-0.010157,-0.012336,82.33,0.46,0.0,-0.147525,-13.66,0xA3E3B7...
2026-04-01 20:58:55,POS-001,ETH,0.2491,1.67,-0.011519,0.0,-0.011519,-0.027351,42.11,0.46,0.0,-0.159044,-11.97,0xA3E3B7...
2026-04-01 21:55:01,POS-001,ETH,0.2491,0.94,-0.017321,0.0,-0.017321,-0.014178,122.17,0.46,0.0,-0.176365,-32.11,0xA3E3B7...
2026-04-01 22:54:11,POS-001,ETH,0.2491,0.99,-0.018861,0.0,-0.018861,-0.020813,90.62,0.46,0.0,-0.195226,-33.15,0xA3E3B7...
2026-04-01 23:48:39,POS-001,ETH,0.2491,0.91,-0.018759,0.0,-0.018759,-0.011184,167.73,0.46,0.0,-0.213985,-35.82,0xA3E3B7...
2026-04-02 03:22:41,POS-001,ETH,0.2491,3.57,-0.054155,0.0,-0.054155,-0.055838,96.99,0.46,0.0,-0.26814,-26.31,0xA3E3B7...
2026-04-02 05:46:57,POS-001,ETH,0.2491,2.4,-0.021129,0.0,-0.021129,-0.030925,68.32,0.46,0.0,-0.289269,-15.23,0xA3E3B7...
2026-04-02 07:39:29,POS-001,ETH,0.2491,1.88,-0.007996,0.0,-0.007996,-0.01104,72.43,0.46,0.0,-0.297265,-7.39,0xA3E3B7...
2026-04-02 09:12:34,POS-001,ETH,0.2491,1.55,-0.005253,0.0,-0.005253,-0.000354,1481.88,0.46,0.0,-0.302518,-5.87,0xA3E3B7...
2026-04-02 11:06:34,POS-001,ETH,0.2491,1.9,0.00404,0.0,0.00404,0.002093,193.06,0.46,0.0,-0.298478,3.69,0xA3E3B7...
2026-04-02 11:55:11,POS-001,ETH,0.2491,0.81,0,0.0,0.0,-2.9e-05,-0.0,0.46,0.0,-0.298478,0.0,0xA3E3B7...
2026-04-02 13:52:17,POS-001,ETH,0.2491,1.95,0.001763,0.0,0.001763,-0.002099,-84.01,0.46,0.0,-0.296715,1.57,0xA3E3B7...
2026-04-02 15:12:03,POS-001,ETH,0.2491,1.33,0.007597,0.0,0.007597,0.006142,123.69,0.46,0.0,-0.289118,9.9,0xA3E3B7...
2026-04-02 17:07:22,POS-001,ETH,0.2491,1.92,-0.001639,0.0,-0.001639,-0.00352,46.56,0.46,0.0,-0.290757,-1.48,0xA3E3B7...
2026-04-02 17:58:55,POS-001,ETH,0.2491,0.86,0,0.0,0.0,-0.001068,-0.0,0.46,0.0,-0.290757,0.0,0xA3E3B7...
2026-04-02 19:11:26,POS-001,ETH,0.2491,1.21,0.000178,0.0,0.000178,0.00121,14.71,0.46,0.0,-0.290579,0.26,0xA3E3B7...
2026-04-02 20:50:12,POS-001,ETH,0.2491,1.65,0.000515,0.0,0.000515,0.005315,9.69,0.46,0.0,-0.290064,0.54,0xA3E3B7...
2026-04-02 21:51:04,POS-001,ETH,0.2491,1.01,0.003838,0.0,0.003838,0.002979,128.84,0.46,0.0,-0.286226,6.56,0xA3E3B7...
2026-04-02 22:48:15,POS-001,ETH,0.2491,0.95,0.001884,0.0,0.001884,0.002018,93.36,0.46,0.0,-0.284342,3.43,0xA3E3B7...
2026-04-02 23:48:26,POS-001,ETH,0.2491,1.0,0.000639,0.0,0.000639,-0.004275,-14.95,0.46,0.0,-0.283703,1.1,0xA3E3B7...
2026-04-03 03:24:16,POS-001,ETH,0.2491,3.6,-0.010949,0.0,-0.010949,-0.011607,94.33,0.46,0.0,-0.294652,-5.28,0xA3E3B7...
2026-04-03 05:47:22,POS-001,ETH,0.2491,2.39,0.004712,0.0,0.004712,-0.004734,-99.54,0.46,0.0,-0.28994,3.42,0xA3E3B7...
2026-04-03 07:24:10,POS-001,ETH,0.2491,1.61,0.006391,0.0,0.006391,0.004607,138.74,0.46,0.0,-0.283549,6.87,0xA3E3B7...
2026-04-03 09:07:40,POS-001,ETH,0.2491,1.73,0.003528,0.0,0.003528,0.002489,141.72,0.46,0.0,-0.280021,3.54,0xA3E3B7...
2026-04-03 10:01:11,POS-001,ETH,0.2491,0.89,-0.000871,0.0,-0.000871,-0.000532,163.79,0.46,0.0,-0.280892,-1.69,0xA3E3B7...
2026-04-03 10:59:10,POS-001,ETH,0.2491,0.97,0,0.0,0.0,-0.003319,-0.0,0.46,0.0,-0.280892,0.0,0xA3E3B7...
2026-04-03 11:49:38,POS-001,ETH,0.2491,0.84,-0.001861,0.0,-0.001861,0.001858,-100.15,0.46,0.0,-0.282753,-3.84,0xA3E3B7...
2026-04-03 13:36:41,POS-001,ETH,0.2491,1.78,0.00518,0.0,0.00518,0.004911,105.48,0.46,0.0,-0.277573,5.03,0xA3E3B7...
